"Player","Team","Position","From","To","# Obj","Date (PDT)","Gameweek"
"Morgan Gibbs-White","WOL/NOT","M","I_De_Zerbit","Mo Mane Mo Problems","0","Thu May 11, 2023, 5:00PM","36"
"Alexis Mac Allister","BHA","M","Mo Mane Mo Problems","I_De_Zerbit","0","Thu May 11, 2023, 5:00PM","36"
"Alex Moreno","AVL","D","Sa Lah Land","Seanhampton FC","0","Sun May 7, 2023, 5:00PM","36"
"Kepa","CHE","G","Seanhampton FC","Sa Lah Land","0","Sun May 7, 2023, 5:00PM","36"
"Ruben Neves","WOL","M","Bench Warmers FC","RATABE","0","Mon Jan 9, 2023, 5:00PM","20"
"James Ward-Prowse","SOU","M","RATABE","Bench Warmers FC","0","Mon Jan 9, 2023, 5:00PM","20"
"John Stones","MCI","D","Bench Warmers FC","Benford F.C.","0","Tue Sep 6, 2022, 5:00PM","7"
"Christian Eriksen","MUN","M","Benford F.C.","Bench Warmers FC","0","Tue Sep 6, 2022, 5:00PM","7"
"Jamie Vardy","LEI","F","Bench Warmers FC","HappyHaalandays","1","Sun Sep 4, 2022, 5:00PM","7"
"Raul Jimenez","WOL","F","Bench Warmers FC","HappyHaalandays","1","Sun Sep 4, 2022, 5:00PM","7"
"Cristiano Ronaldo","MUN","F","HappyHaalandays","Bench Warmers FC","1","Sun Sep 4, 2022, 5:00PM","7"
"Rodrigo","LEE","F","Sa Lah Land","Seanhampton FC","0","Wed Aug 31, 2022, 5:00PM","6"
"Miguel Almiron","NEW","M","Sa Lah Land","Seanhampton FC","0","Wed Aug 31, 2022, 5:00PM","6"
"Pascal Gross","BHA","M","Seanhampton FC","Sa Lah Land","0","Wed Aug 31, 2022, 5:00PM","6"
