Season 12,Season 13,Season 14,Season 15,hex,color
,Zenright,New Zac on the Block,Walton Goggonzola,#a6cee3,l. blue
I_De_Zerbit,Cheasle FC,Cheasle FC,Cheasle FC,#1f78b4,blue
Sa Lah Land,Chicken ASzobo,TAAco Bell,Liverwirtz Football Club,#b2df8a,l. green
Seanhampton FC,Seanhampton FC,Seanhampton,Seanhampton,#33a02c,green
Benford F.C.,Benford FC,Benford FC,Benford FC,#fb9a99,l. red
RATABE,RATABE,RATABE,Morning Timber,#e31a1c,red
Mo Mané Mo Problems,Cursed BrunOnana,Concept of a FPLan,Mattchester United,#fdbf6f,l. orange
,The ThiaGOAT,Magpies United,Magpies United,#ff7f00,orange
Bench Warmers FC,Thottenham Hotsluts,Thottenham Hotsluts,Thottenham Hotsluts,#cab2d6,l. purple
HappyHaalandays,HappyHaalandays,HappyHaalandays,FPL 5: AutoPick Strikes Back,#6a3d9a,purple
