"Player","Team","Position","Type","Team","Pr","Grp/Max","Date (PDT)","Gameweek"
"Hwang Hee-Chan","WOL","F","Claim","I_De_Zerbit","","","Sun May 28, 2023, 7:55AM","38"
"Michail Antonio","WHU","F","Drop","I_De_Zerbit","","","Sun May 28, 2023, 7:55AM","38"
"Conor Coady","WOL/EVE","D","Claim","I_De_Zerbit","","","Sun May 28, 2023, 7:47AM","38"
"Dominic Solanke","BOU","F","Drop","I_De_Zerbit","","","Sun May 28, 2023, 7:47AM","38"
"Alex Iwobi","EVE","M","Claim","I_De_Zerbit","","","Sun May 28, 2023, 7:45AM","38"
"Kyle Walker","MCI","D","Drop","I_De_Zerbit","","","Sun May 28, 2023, 7:45AM","38"
"Alejandro Garnacho Ferreyra","MUN","M","Claim","I_De_Zerbit","","","Sun May 28, 2023, 7:43AM","38"
"Alex Iwobi","EVE","M","Drop","I_De_Zerbit","","","Sun May 28, 2023, 7:43AM","38"
"Michail Antonio","WHU","F","Claim","I_De_Zerbit","","","Sun May 28, 2023, 7:37AM","38"
"Danny Ings","AVL/WHU","F","Drop","I_De_Zerbit","","","Sun May 28, 2023, 7:37AM","38"
"Joel Matip","LIV","D","Claim","I_De_Zerbit","","","Sun May 28, 2023, 7:32AM","38"
"Luke Shaw","MUN","D","Drop","I_De_Zerbit","","","Sun May 28, 2023, 7:32AM","38"
"Matt Targett","NEW","D","Claim","Sa Lah Land","","","Sun May 28, 2023, 7:32AM","38"
"Dan Burn","NEW","D","Drop","Sa Lah Land","","","Sun May 28, 2023, 7:32AM","38"
"Konstantinos Tsimikas","LIV","D","Claim","Sa Lah Land","","","Sat May 27, 2023, 7:05PM","38"
"Victor Lindelof","MUN","D","Drop","Sa Lah Land","","","Sat May 27, 2023, 7:05PM","38"
"Kyle Walker","MCI","D","Claim","I_De_Zerbit","","","Fri May 26, 2023, 11:55AM","38"
"Manuel Akanji","MCI","D","Lineup Change","I_De_Zerbit","","","Fri May 26, 2023, 11:55AM","38"
"Allan Saint-Maximin","NEW","M","Claim","I_De_Zerbit","","","Fri May 26, 2023, 8:39AM","38"
"Pablo Fornals","WHU","M","Drop","I_De_Zerbit","","","Fri May 26, 2023, 8:39AM","38"
"Roberto Firmino","LIV","F","Claim","I_De_Zerbit","","","Fri May 26, 2023, 8:35AM","38"
