W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw,season,win,draw,loss,points,win_pct,for,against,streak
1.0,0.0,0.0,3.0,1.0,6.0,171.0,168.5,1 (W),Magpies United,1,1,14,,,,,,,,
1.0,0.0,0.0,3.0,1.0,2.0,156.0,140.0,1 (W),RATABE,2,1,14,,,,,,,,
1.0,0.0,0.0,3.0,1.0,8.0,146.0,101.5,1 (W),HappyHaalandays,3,1,14,,,,,,,,
1.0,0.0,0.0,3.0,1.0,10.0,137.0,131.0,1 (W),TAAco Bell,4,1,14,,,,,,,,
1.0,0.0,0.0,3.0,1.0,5.0,128.5,81.0,1 (W),Benford FC,5,1,14,,,,,,,,
0.0,0.0,1.0,0.0,0.0,4.0,168.5,171.0,1 (L),Seanhampton,6,1,14,,,,,,,,
0.0,0.0,1.0,0.0,0.0,7.0,140.0,156.0,1 (L),Concept of a FPLan,7,1,14,,,,,,,,
0.0,0.0,1.0,0.0,0.0,9.0,131.0,137.0,1 (L),Cheasle FC,8,1,14,,,,,,,,
0.0,0.0,1.0,0.0,0.0,1.0,101.5,146.0,1 (L),New Zac on the Block,9,1,14,,,,,,,,
0.0,0.0,1.0,0.0,0.0,3.0,81.0,128.5,1 (L),Thottenham Hotsluts,10,1,14,,,,,,,,
2.0,0.0,0.0,6.0,1.0,2.0,345.5,293.5,2 (W),RATABE,1,2,14,,,,,,,,
2.0,0.0,0.0,6.0,1.0,6.0,294.5,235.0,2 (W),Magpies United,2,2,14,,,,,,,,
1.0,0.0,1.0,3.0,0.5,9.0,324.5,252.0,1 (W),Cheasle FC,3,2,14,,,,,,,,
1.0,0.0,1.0,3.0,0.5,7.0,310.5,322.5,1 (W),Concept of a FPLan,4,2,14,,,,,,,,
1.0,0.0,1.0,3.0,0.5,10.0,303.5,301.5,1 (L),TAAco Bell,5,2,14,,,,,,,,
1.0,0.0,1.0,3.0,0.5,1.0,282.0,298.5,1 (W),New Zac on the Block,6,2,14,,,,,,,,
1.0,0.0,1.0,3.0,0.5,8.0,261.0,295.0,1 (L),HappyHaalandays,7,2,14,,,,,,,,
1.0,0.0,1.0,3.0,0.5,5.0,195.0,204.5,1 (L),Benford FC,8,2,14,,,,,,,,
0.0,0.0,2.0,0.0,0.0,4.0,321.0,351.5,2 (L),Seanhampton,9,2,14,,,,,,,,
