gw,Bench Warmers FC,Benford F.C.,HappyHaalandays,I_De_Zerbit,Mo Mané Mo Problems,RATABE,Sa Lah Land,Seanhampton FC
1,5,6,7,3,8,1,2,4
2,7,8,4,3,6,1,2,5
3,8,4,5,3,7,2,1,6
4,6,7,4,2,5,3,1,8
5,4,6,5,2,7,3,1,8
6,6,4,7,3,5,2,1,8
7,6,4,7,3,5,2,1,8
8,5,4,6,2,7,3,1,8
9,7,6,4,3,5,2,1,8
10,5,7,4,2,6,3,1,8
11,4,7,5,3,6,2,1,8
12,4,7,5,2,6,3,1,8
13,4,7,5,2,6,3,1,8
14,4,7,5,2,6,3,1,8
15,4,7,5,2,6,3,1,8
16,4,7,5,2,6,3,1,8
17,4,7,5,2,6,3,1,8
18,4,6,5,3,7,2,1,8
19,4,5,6,2,7,3,1,8
20,4,5,6,3,7,2,1,8
21,2,5,6,4,7,3,1,8
22,3,5,7,4,6,2,1,8
23,2,5,8,4,6,3,1,7
24,2,5,8,3,7,4,1,6
25,2,5,6,4,8,3,1,7
26,2,5,6,4,8,3,1,7
27,2,5,6,4,8,3,1,7
28,2,5,6,4,8,3,1,7
29,2,5,6,4,8,3,1,7
30,2,5,6,4,8,3,1,7
31,2,5,7,4,8,3,1,6
32,2,5,6,4,8,3,1,7
33,2,5,6,4,8,3,1,7
34,2,5,6,4,8,3,1,7
35,2,5,7,3,8,4,1,6
36,2,5,6,3,8,4,1,7
37,2,5,6,3,8,4,1,7
38,2,5,6,3,8,4,1,7
