gw,Benford FC,Cheasle FC,Concept of a FPLan,HappyHaalandays,Magpies United,New Zac on the Block,RATABE,Seanhampton,TAAco Bell,Thottenham Hotsluts
1,5,8,7,3,1,9,2,6,4,10
2,8,3,4,7,2,6,1,9,5,10
3,9,2,6,4,5,3,1,10,7,8
4,6,5,9,4,3,2,1,7,8,10
5,6,3,9,2,5,1,4,8,7,10
6,7,3,10,2,6,1,4,9,5,8
7,7,2,10,1,6,3,5,9,4,8
8,7,1,9,2,6,4,5,10,3,8
9,7,1,9,2,6,5,4,10,3,8
10,8,1,9,3,6,4,5,10,2,7
11,7,2,8,1,9,4,5,10,3,6
12,7,2,8,1,9,4,6,10,3,5
13,7,3,9,2,10,4,6,8,1,5
14,5,2,9,1,10,4,7,8,3,6
15,7,1,9,3,10,4,6,8,2,5
16,7,1,9,2,10,4,6,8,3,5
17,7,1,9,3,10,4,6,8,2,5
18,7,1,9,3,10,5,6,8,2,4
19,7,1,9,3,10,5,6,8,2,4
20,7,1,9,3,10,4,6,8,2,5
21,6,1,8,3,10,5,7,9,2,4
22,7,1,8,3,10,5,6,9,2,4
23,7,1,8,3,10,5,6,9,2,4
24,7,2,8,4,10,3,6,9,1,5
25,7,2,8,4,10,3,6,9,1,5
26,7,2,9,4,10,3,6,8,1,5
27,9,2,8,4,10,3,6,7,1,5
28,8,2,9,4,10,3,5,7,1,6
29,7,2,9,4,10,3,5,8,1,6
30,7,2,9,5,10,3,4,8,1,6
31,7,1,8,4,10,3,5,9,2,6
32,8,1,7,4,10,3,5,9,2,6
33,8,1,6,4,10,3,5,9,2,7
34,7,2,6,4,10,3,5,9,1,8
35,8,2,6,4,10,3,5,9,1,7
36,8,2,7,4,10,3,5,9,1,6
37,8,2,7,4,10,3,5,9,1,6
38,8,2,7,4,10,3,5,9,1,6
