W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw
1,0,0,3,1.0,3,194.5,168.0,1 (W),Happy BOnana,1,1
1,0,0,3,1.0,10,163.75,159.0,1 (W),The ThiaGOAT,2,1
1,0,0,3,1.0,2,131.5,84.75,1 (W),Seanhampton FC,3,1
1,0,0,3,1.0,8,128.0,125.75,1 (W),HappyHaalandays,4,1
1,0,0,3,1.0,1,123.5,87.5,1 (W),InjuReece FC,5,1
0,0,1,0,0.0,7,168.0,194.5,1 (L),Thottenham Hotsluts,6,1
0,0,1,0,0.0,4,159.0,163.75,1 (L),Zenright,7,1
0,0,1,0,0.0,9,125.75,128.0,1 (L),RATABE,8,1
0,0,1,0,0.0,5,87.5,123.5,1 (L),Vu's Cheasle FC,9,1
0,0,1,0,0.0,6,84.75,131.5,1 (L),Benford FC,10,1
1,0,0,3,1.0,10,310.0,242.25,1 (W),The ThiaGOAT,1,2
1,0,0,3,1.0,3,308.75,335.75,1 (W),Happy BOnana,2,2
1,0,0,3,1.0,1,291.25,201.75,1 (W),InjuReece FC,3,2
1,0,0,3,1.0,2,258.5,170.25,1 (W),Seanhampton FC,4,2
1,0,0,3,1.0,8,221.5,240.75,1 (W),HappyHaalandays,5,2
0,0,1,0,0.0,7,283.0,288.0,1 (L),Thottenham Hotsluts,6,2
0,0,1,0,0.0,4,263.25,255.25,1 (L),Zenright,7,2
0,0,1,0,0.0,9,209.0,274.25,1 (L),RATABE,8,2
0,0,1,0,0.0,6,176.25,235.75,1 (L),Benford FC,9,2
0,0,1,0,0.0,5,173.0,250.5,1 (L),Vu's Cheasle FC,10,2
