gw,rank,team,win,draw,loss,points,win_pct,for,against,streak
1,1,Cursed BrunOnana,1,0,0,3,1.0,194.5,168.0,1 (W)
1,2,The ThiaGOAT,1,0,0,3,1.0,163.75,159.0,1 (W)
1,3,Seanhampton FC,1,0,0,3,1.0,131.5,87.75,1 (W)
1,4,HappyHaalandays,1,0,0,3,1.0,128.0,125.75,1 (W)
1,5,Chicken ASzobo,1,0,0,3,1.0,123.5,87.5,1 (W)
1,6,Thottenham Hotsluts,0,0,1,0,0.0,168.0,194.5,1 (L)
1,7,Zenright,0,0,1,0,0.0,159.0,163.75,1 (L)
1,8,RATABE,0,0,1,0,0.0,125.75,128.0,1 (L)
1,9,Benford FC,0,0,1,0,0.0,87.75,131.5,1 (L)
1,10,Cheasle FC,0,0,1,0,0.0,87.5,123.5,1 (L)
2,1,The ThiaGOAT,2,0,0,6,1.0,322.0,272.25,2 (W)
2,2,Chicken ASzobo,2,0,0,6,1.0,300.25,216.75,2 (W)
2,3,Seanhampton FC,2,0,0,6,1.0,258.5,189.25,2 (W)
2,4,Cursed BrunOnana,1,0,1,3,0.5,323.75,344.75,1 (L)
2,5,Thottenham Hotsluts,1,0,1,3,0.5,283.0,307.75,1 (W)
2,6,HappyHaalandays,1,0,1,3,0.5,241.25,240.75,1 (L)
2,7,Benford FC,1,0,1,3,0.5,216.25,236.75,1 (W)
2,8,Zenright,0,0,2,0,0.0,264.25,292.25,2 (L)
2,9,RATABE,0,0,2,0,0.0,239.0,286.25,2 (L)
2,10,Cheasle FC,0,0,2,0,0.0,189.0,250.5,2 (L)
3,1,Seanhampton FC,3,0,0,9,1.0,415.75,305.0,3 (W)
3,2,The ThiaGOAT,2,0,1,6,0.667,451.0,428.75,1 (L)
3,3,Thottenham Hotsluts,2,0,1,6,0.667,439.5,436.75,2 (W)
3,4,HappyHaalandays,2,0,1,6,0.667,420.5,365.25,1 (W)
3,5,Chicken ASzobo,2,0,1,6,0.667,416.0,374.0,1 (L)
3,6,Benford FC,2,0,1,6,0.667,365.0,369.25,2 (W)
3,7,Cursed BrunOnana,1,0,2,3,0.333,448.25,524.0,2 (L)
3,8,Cheasle FC,1,0,2,3,0.333,331.5,392.75,1 (W)
3,9,Zenright,0,0,3,0,0.0,406.5,434.75,3 (L)
3,10,RATABE,0,0,3,0,0.0,371.5,435.0,3 (L)
4,1,Seanhampton FC,4,0,0,12,1.0,565.25,419.75,4 (W)
